run_id,test_id,benchmark_commit_sha,benchmark_branch,environment_name,cloud_provider,region,zone,instance_sender,instance_receiver,os_image,kernel_version,cpu_pinning_policy,dataset_version,dataset_seed,dataset_generator_version,dataset_args,dataset_checksum,dataset_artifact_uri,created_at
smoke_20260501_094046,,local-smoke,,local,,,,,,,,,,,,,,,2026-05-01 13:40:46.644826+00:00
smoke_20260501_100854,,local-benchmark,,local,,,,,,,,,,,,,,,2026-05-01 14:08:56.422749+00:00
